recording_id,label,source
a0168,1,training-a
a0169,1,training-a
a0170,1,training-a
a0171,0,training-a
a0172,1,training-a
a0173,1,training-a
a0174,1,training-a
a0175,1,training-a
a0176,1,training-a
a0177,1,training-a
a0178,0,training-a
a0179,0,training-a
a0180,1,training-a
a0181,0,training-a
a0182,1,training-a
a0183,1,training-a
a0184,0,training-a
a0185,0,training-a
a0186,1,training-a
a0187,1,training-a
a0188,1,training-a
a0189,0,training-a
a0190,1,training-a
a0191,1,training-a
a0192,1,training-a
a0193,0,training-a
a0194,1,training-a
a0195,0,training-a
a0196,0,training-a
a0197,1,training-a
a0198,1,training-a
a0199,0,training-a
a0200,1,training-a
a0201,1,training-a
a0202,1,training-a
a0203,1,training-a
a0204,0,training-a
a0205,1,training-a
a0206,1,training-a
a0207,1,training-a
a0208,0,training-a
a0209,1,training-a
a0210,0,training-a
a0211,0,training-a
a0212,0,training-a
a0213,1,training-a
a0214,1,training-a
a0215,1,training-a
a0216,1,training-a
a0217,1,training-a
a0218,1,training-a
a0219,1,training-a
a0220,1,training-a
a0221,1,training-a
a0222,1,training-a
a0223,1,training-a
a0224,1,training-a
a0225,1,training-a
a0226,1,training-a
a0227,0,training-a
a0228,1,training-a
a0229,0,training-a
a0230,1,training-a
a0231,0,training-a
a0232,1,training-a
a0233,1,training-a
a0234,1,training-a
a0235,0,training-a
a0236,1,training-a
a0237,1,training-a
a0238,0,training-a
a0239,1,training-a
a0240,1,training-a
a0241,0,training-a
a0242,1,training-a
a0243,0,training-a
a0244,1,training-a
a0245,1,training-a
a0246,1,training-a
a0247,1,training-a
a0248,1,training-a
a0249,1,training-a
a0250,0,training-a
a0251,1,training-a
a0252,1,training-a
a0253,0,training-a
a0254,1,training-a
a0255,1,training-a
a0256,1,training-a
a0257,1,training-a
a0258,1,training-a
a0259,1,training-a
a0260,1,training-a
a0261,1,training-a
a0262,1,training-a
a0263,1,training-a
a0264,0,training-a
a0265,1,training-a
a0266,0,training-a
a0267,1,training-a
a0268,1,training-a
a0269,1,training-a
a0270,0,training-a
a0271,0,training-a
a0272,1,training-a
a0273,1,training-a
a0274,0,training-a
a0275,1,training-a
a0276,1,training-a
a0277,1,training-a
a0278,1,training-a
a0279,1,training-a
a0280,1,training-a
a0281,1,training-a
a0282,1,training-a
a0283,0,training-a
a0284,1,training-a
a0285,0,training-a
a0286,1,training-a
a0287,0,training-a
a0288,1,training-a
a0289,0,training-a
a0290,0,training-a
a0291,1,training-a
a0292,1,training-a
a0293,0,training-a
a0294,0,training-a
a0295,1,training-a
a0296,1,training-a
a0297,1,training-a
a0298,0,training-a
a0299,0,training-a
a0300,1,training-a
a0301,0,training-a
a0302,0,training-a
a0303,1,training-a
a0304,0,training-a
a0305,1,training-a
a0306,1,training-a
a0307,1,training-a
a0308,1,training-a
a0309,0,training-a
a0310,0,training-a
a0311,0,training-a
a0312,1,training-a
a0313,1,training-a
a0314,1,training-a
a0315,1,training-a
a0316,1,training-a
a0317,1,training-a
a0318,1,training-a
a0319,1,training-a
a0320,1,training-a
a0321,1,training-a
a0322,1,training-a
a0323,0,training-a
a0324,1,training-a
a0325,0,training-a
a0326,1,training-a
a0327,1,training-a
a0328,0,training-a
a0329,0,training-a
a0330,0,training-a
a0331,1,training-a
a0332,0,training-a
a0333,1,training-a
a0334,0,training-a
a0335,1,training-a
a0336,1,training-a
a0337,0,training-a
a0338,1,training-a
a0339,1,training-a
a0340,0,training-a
a0341,1,training-a
a0342,0,training-a
a0343,1,training-a
a0344,1,training-a
a0345,1,training-a
a0346,1,training-a
a0347,1,training-a
a0348,1,training-a
a0349,1,training-a
a0350,1,training-a
a0351,0,training-a
a0352,0,training-a
a0353,0,training-a
a0354,1,training-a
a0355,0,training-a
a0356,1,training-a
a0357,1,training-a
a0358,1,training-a
a0359,0,training-a
a0360,1,training-a
a0361,0,training-a
a0362,1,training-a
a0363,1,training-a
a0364,1,training-a
a0365,1,training-a
a0366,1,training-a
a0367,1,training-a
a0368,1,training-a
a0369,1,training-a
a0370,1,training-a
a0371,1,training-a
a0372,1,training-a
a0373,1,training-a
a0374,1,training-a
a0375,1,training-a
a0376,1,training-a
a0377,1,training-a
a0378,1,training-a
a0379,1,training-a
a0380,1,training-a
a0381,1,training-a
a0382,1,training-a
a0383,1,training-a
a0384,1,training-a
a0385,0,training-a
a0386,0,training-a
a0387,1,training-a
a0388,1,training-a
a0389,1,training-a
a0390,1,training-a
a0391,1,training-a
a0392,1,training-a
a0393,0,training-a
a0394,1,training-a
a0395,1,training-a
a0396,1,training-a
a0397,1,training-a
a0398,1,training-a
a0399,1,training-a
a0400,1,training-a
a0401,0,training-a
a0402,1,training-a
a0403,1,training-a
a0404,1,training-a
a0405,0,training-a
a0406,0,training-a
a0407,0,training-a
a0408,0,training-a
a0409,0,training-a
b0001,0,training-b
b0002,0,training-b
b0003,0,training-b
b0004,0,training-b
b0005,0,training-b
b0006,0,training-b
b0007,0,training-b
b0008,1,training-b
b0009,0,training-b
b0010,0,training-b
b0011,0,training-b
b0012,0,training-b
b0013,1,training-b
b0014,0,training-b
b0015,0,training-b
b0016,1,training-b
b0017,0,training-b
b0018,1,training-b
b0019,0,training-b
b0020,0,training-b
b0021,0,training-b
b0022,1,training-b
b0023,1,training-b
b0024,0,training-b
b0025,0,training-b
b0026,0,training-b
b0027,0,training-b
b0028,0,training-b
b0029,0,training-b
b0030,1,training-b
b0031,0,training-b
b0032,1,training-b
b0033,1,training-b
b0034,0,training-b
b0035,0,training-b
b0036,0,training-b
b0037,1,training-b
b0038,0,training-b
b0039,0,training-b
b0040,1,training-b
b0041,1,training-b
b0042,0,training-b
b0043,1,training-b
b0044,0,training-b
b0045,0,training-b
b0046,1,training-b
b0047,0,training-b
b0048,1,training-b
b0049,0,training-b
b0050,0,training-b
b0051,0,training-b
b0052,0,training-b
b0053,0,training-b
b0054,1,training-b
b0055,0,training-b
b0056,0,training-b
b0057,1,training-b
b0058,0,training-b
b0059,0,training-b
b0060,0,training-b
b0061,0,training-b
b0062,0,training-b
b0063,1,training-b
b0064,0,training-b
b0065,0,training-b
b0066,0,training-b
b0067,0,training-b
b0068,1,training-b
b0069,0,training-b
b0070,0,training-b
b0071,0,training-b
b0072,0,training-b
b0073,0,training-b
b0074,0,training-b
b0075,0,training-b
b0076,0,training-b
b0077,1,training-b
b0078,0,training-b
b0079,0,training-b
b0080,0,training-b
b0081,1,training-b
b0082,0,training-b
b0083,0,training-b
b0084,0,training-b
b0085,0,training-b
b0086,1,training-b
b0087,0,training-b
b0088,0,training-b
b0089,0,training-b
b0090,0,training-b
b0091,0,training-b
b0092,0,training-b
b0093,0,training-b
b0094,0,training-b
b0095,0,training-b
b0096,1,training-b
b0097,0,training-b
b0098,0,training-b
b0099,0,training-b
b0100,0,training-b
b0101,0,training-b
b0102,0,training-b
b0103,0,training-b
b0104,0,training-b
b0105,0,training-b
b0106,1,training-b
b0107,0,training-b
b0108,0,training-b
b0109,0,training-b
b0110,0,training-b
b0111,0,training-b
b0112,0,training-b
b0113,0,training-b
b0114,0,training-b
b0115,0,training-b
b0116,0,training-b
b0117,1,training-b
b0118,0,training-b
b0119,0,training-b
b0120,1,training-b
b0121,0,training-b
b0122,0,training-b
b0123,0,training-b
b0124,0,training-b
b0125,0,training-b
b0126,0,training-b
b0127,0,training-b
b0128,0,training-b
b0129,0,training-b
b0130,1,training-b
b0131,0,training-b
b0132,0,training-b
b0133,0,training-b
b0134,0,training-b
b0135,0,training-b
b0136,1,training-b
b0137,1,training-b
b0138,0,training-b
b0139,0,training-b
b0140,1,training-b
b0141,0,training-b
b0142,0,training-b
b0143,0,training-b
b0144,0,training-b
b0145,0,training-b
b0146,0,training-b
b0147,0,training-b
b0148,1,training-b
b0149,0,training-b
b0150,0,training-b
b0151,0,training-b
b0152,0,training-b
b0153,0,training-b
b0154,0,training-b
b0155,1,training-b
b0156,0,training-b
b0157,0,training-b
b0158,0,training-b
b0159,1,training-b
b0160,0,training-b
b0161,0,training-b
b0162,0,training-b
b0163,0,training-b
b0164,1,training-b
b0165,0,training-b
b0166,0,training-b
b0167,0,training-b
b0168,0,training-b
b0169,0,training-b
b0170,0,training-b
b0171,1,training-b
b0172,0,training-b
b0173,0,training-b
b0174,0,training-b
b0175,0,training-b
b0176,1,training-b
b0177,0,training-b
b0178,0,training-b
b0179,0,training-b
b0180,0,training-b
b0181,0,training-b
b0182,0,training-b
b0183,0,training-b
b0184,0,training-b
b0185,0,training-b
b0186,0,training-b
b0187,0,training-b
b0188,0,training-b
b0189,0,training-b
b0190,1,training-b
b0191,0,training-b
b0192,0,training-b
b0193,0,training-b
b0194,0,training-b
b0195,0,training-b
b0196,0,training-b
b0197,1,training-b
b0198,0,training-b
b0199,0,training-b
b0200,0,training-b
b0201,0,training-b
b0202,0,training-b
b0203,0,training-b
b0204,0,training-b
b0205,0,training-b
b0206,0,training-b
b0207,0,training-b
b0208,1,training-b
b0209,0,training-b
b0210,0,training-b
b0211,0,training-b
b0212,0,training-b
b0213,0,training-b
b0214,0,training-b
b0215,0,training-b
b0216,0,training-b
b0217,0,training-b
b0218,0,training-b
b0219,0,training-b
b0220,0,training-b
b0221,1,training-b
b0222,0,training-b
b0223,0,training-b
b0224,1,training-b
b0225,0,training-b
b0226,0,training-b
b0227,0,training-b
b0228,0,training-b
b0229,0,training-b
b0230,0,training-b
b0231,0,training-b
b0232,1,training-b
b0233,1,training-b
b0234,0,training-b
b0235,1,training-b
b0236,0,training-b
b0237,0,training-b
b0238,1,training-b
b0239,1,training-b
b0240,0,training-b
b0241,0,training-b
b0242,1,training-b
b0243,1,training-b
b0244,0,training-b
b0245,0,training-b
b0246,0,training-b
b0247,0,training-b
b0248,1,training-b
b0249,0,training-b
b0250,0,training-b
b0251,1,training-b
b0252,0,training-b
b0253,1,training-b
b0254,0,training-b
b0255,0,training-b
b0256,0,training-b
b0257,1,training-b
b0258,0,training-b
b0259,0,training-b
b0260,0,training-b
b0261,0,training-b
b0262,1,training-b
b0263,1,training-b
b0264,0,training-b
b0265,1,training-b
b0266,0,training-b
b0267,1,training-b
b0268,0,training-b
b0269,0,training-b
b0270,0,training-b
b0271,1,training-b
b0272,0,training-b
b0273,1,training-b
b0274,0,training-b
b0275,0,training-b
b0276,0,training-b
b0277,0,training-b
b0278,1,training-b
b0279,1,training-b
b0280,1,training-b
b0281,0,training-b
b0282,0,training-b
b0283,0,training-b
b0284,1,training-b
b0285,0,training-b
b0286,0,training-b
b0287,0,training-b
b0288,0,training-b
b0289,0,training-b
b0290,0,training-b
b0291,0,training-b
b0292,1,training-b
b0293,0,training-b
b0294,0,training-b
b0295,1,training-b
b0296,0,training-b
b0297,0,training-b
b0298,0,training-b
b0299,1,training-b
b0300,0,training-b
b0301,0,training-b
b0302,0,training-b
b0303,0,training-b
b0304,0,training-b
b0305,0,training-b
b0306,0,training-b
b0307,1,training-b
b0308,0,training-b
b0309,0,training-b
b0310,0,training-b
b0311,0,training-b
b0312,0,training-b
b0313,0,training-b
b0314,0,training-b
b0315,0,training-b
b0316,0,training-b
b0317,0,training-b
b0318,1,training-b
b0319,1,training-b
b0320,0,training-b
b0321,0,training-b
b0322,0,training-b
b0323,0,training-b
b0324,0,training-b
b0325,0,training-b
b0326,0,training-b
b0327,1,training-b
b0328,0,training-b
b0329,0,training-b
b0330,0,training-b
b0331,0,training-b
b0332,0,training-b
b0333,0,training-b
b0334,1,training-b
b0335,1,training-b
b0336,0,training-b
b0337,0,training-b
b0338,0,training-b
b0339,0,training-b
b0340,0,training-b
b0341,1,training-b
b0342,1,training-b
b0343,0,training-b
b0344,1,training-b
b0345,0,training-b
b0346,0,training-b
b0347,0,training-b
b0348,0,training-b
b0349,1,training-b
b0350,0,training-b
b0351,0,training-b
b0352,0,training-b
b0353,0,training-b
b0354,0,training-b
b0355,0,training-b
b0356,0,training-b
b0357,0,training-b
b0358,0,training-b
b0359,0,training-b
b0360,0,training-b
b0361,1,training-b
b0362,0,training-b
b0363,0,training-b
b0364,0,training-b
b0365,1,training-b
b0366,0,training-b
b0367,1,training-b
b0368,0,training-b
b0369,1,training-b
b0370,0,training-b
b0371,0,training-b
b0372,0,training-b
b0373,0,training-b
b0374,0,training-b
b0375,0,training-b
b0376,0,training-b
b0377,0,training-b
b0378,0,training-b
b0379,0,training-b
b0380,0,training-b
b0381,0,training-b
b0382,0,training-b
b0383,0,training-b
b0384,1,training-b
b0385,1,training-b
b0386,0,training-b
b0387,0,training-b
b0388,0,training-b
b0389,0,training-b
b0390,1,training-b
b0391,0,training-b
b0392,0,training-b
b0393,0,training-b
b0394,0,training-b
b0395,1,training-b
b0396,0,training-b
b0397,1,training-b
b0398,0,training-b
b0399,0,training-b
b0400,0,training-b
b0401,0,training-b
b0402,0,training-b
b0403,0,training-b
b0404,0,training-b
b0405,0,training-b
b0406,0,training-b
b0407,0,training-b
b0408,1,training-b
b0409,1,training-b
b0410,0,training-b
b0411,0,training-b
b0412,0,training-b
b0413,1,training-b
b0414,0,training-b
b0415,0,training-b
b0416,0,training-b
b0417,0,training-b
b0418,1,training-b
b0419,0,training-b
b0420,0,training-b
b0421,0,training-b
b0422,1,training-b
b0423,0,training-b
b0424,0,training-b
b0425,0,training-b
b0426,0,training-b
b0427,1,training-b
b0428,1,training-b
b0429,0,training-b
b0430,0,training-b
b0431,0,training-b
b0432,0,training-b
b0433,0,training-b
b0434,0,training-b
b0435,0,training-b
b0436,1,training-b
b0437,1,training-b
b0438,0,training-b
b0439,0,training-b
b0440,0,training-b
b0441,0,training-b
b0442,0,training-b
b0443,0,training-b
b0444,1,training-b
b0445,0,training-b
b0446,1,training-b
b0447,0,training-b
b0448,0,training-b
b0449,0,training-b
b0450,1,training-b
b0451,0,training-b
b0452,0,training-b
b0453,0,training-b
b0454,0,training-b
b0455,1,training-b
b0456,0,training-b
b0457,0,training-b
b0458,0,training-b
b0459,0,training-b
b0460,0,training-b
b0461,0,training-b
b0462,0,training-b
b0463,0,training-b
b0464,0,training-b
b0465,1,training-b
b0466,0,training-b
b0467,1,training-b
b0468,1,training-b
b0469,0,training-b
b0470,0,training-b
b0471,1,training-b
b0472,0,training-b
b0473,0,training-b
b0474,1,training-b
b0475,0,training-b
b0476,1,training-b
b0477,0,training-b
b0478,0,training-b
b0479,0,training-b
b0480,0,training-b
b0481,0,training-b
b0482,0,training-b
b0483,0,training-b
b0484,1,training-b
b0485,0,training-b
b0486,0,training-b
b0487,0,training-b
b0488,0,training-b
b0489,0,training-b
b0490,0,training-b
c0001,1,training-c
c0002,1,training-c
c0003,0,training-c
c0004,1,training-c
c0005,1,training-c
c0006,0,training-c
c0007,0,training-c
c0008,1,training-c
c0009,1,training-c
c0010,1,training-c
c0011,0,training-c
c0012,1,training-c
c0013,1,training-c
c0014,1,training-c
c0015,1,training-c
c0016,0,training-c
c0017,1,training-c
c0018,1,training-c
c0019,1,training-c
c0020,1,training-c
c0021,1,training-c
c0022,0,training-c
c0023,1,training-c
c0024,1,training-c
c0025,1,training-c
c0026,1,training-c
c0027,1,training-c
c0028,1,training-c
c0029,1,training-c
c0030,0,training-c
c0031,1,training-c
d0001,0,training-d
d0002,1,training-d
d0003,1,training-d
d0004,1,training-d
d0005,0,training-d
d0006,0,training-d
d0007,0,training-d
d0008,1,training-d
d0009,1,training-d
d0010,1,training-d
d0011,1,training-d
d0012,1,training-d
d0013,0,training-d
d0014,1,training-d
d0015,0,training-d
d0016,0,training-d
d0017,1,training-d
d0018,1,training-d
d0019,1,training-d
d0020,0,training-d
d0021,1,training-d
d0022,1,training-d
d0023,0,training-d
d0024,0,training-d
d0025,0,training-d
d0026,1,training-d
d0027,0,training-d
d0028,1,training-d
d0029,1,training-d
d0030,0,training-d
d0031,0,training-d
d0032,1,training-d
d0033,1,training-d
d0034,1,training-d
d0035,1,training-d
d0036,0,training-d
d0037,0,training-d
d0038,1,training-d
d0039,1,training-d
d0040,1,training-d
d0041,0,training-d
d0042,1,training-d
d0043,0,training-d
d0044,0,training-d
d0045,0,training-d
d0046,1,training-d
d0047,0,training-d
d0048,0,training-d
d0049,0,training-d
d0050,0,training-d
d0051,1,training-d
d0052,1,training-d
d0053,0,training-d
d0054,0,training-d
d0055,0,training-d
e00001,0,training-e
e00002,0,training-e
e00003,0,training-e
e00004,0,training-e
e00005,0,training-e
e00006,0,training-e
e00007,0,training-e
e00008,0,training-e
e00009,0,training-e
e00010,0,training-e
e00011,0,training-e
e00012,0,training-e
e00013,0,training-e
e00014,0,training-e
e00015,0,training-e
e00016,0,training-e
e00017,0,training-e
e00018,0,training-e
e00019,0,training-e
e00020,1,training-e
e00021,0,training-e
e00022,0,training-e
e00023,0,training-e
e00024,0,training-e
e00025,0,training-e
e00026,0,training-e
e00027,0,training-e
e00028,0,training-e
e00029,0,training-e
e00030,0,training-e
e00031,0,training-e
e00032,0,training-e
e00033,0,training-e
e00034,0,training-e
e00035,0,training-e
e00036,0,training-e
e00037,0,training-e
e00038,0,training-e
e00039,0,training-e
e00040,0,training-e
e00041,0,training-e
e00042,0,training-e
e00043,0,training-e
e00044,0,training-e
e00045,0,training-e
e00046,0,training-e
e00047,0,training-e
e00048,1,training-e
e00049,0,training-e
e00050,0,training-e
e00051,0,training-e
e00052,0,training-e
e00053,0,training-e
e00054,0,training-e
e00055,0,training-e
e00056,0,training-e
e00057,0,training-e
e00058,0,training-e
e00059,1,training-e
e00060,0,training-e
e00061,0,training-e
e00062,0,training-e
e00063,0,training-e
e00064,0,training-e
e00065,0,training-e
e00066,0,training-e
e00067,0,training-e
e00068,0,training-e
e00069,0,training-e
e00070,0,training-e
e00071,1,training-e
e00072,0,training-e
e00073,0,training-e
e00074,0,training-e
e00075,0,training-e
e00076,0,training-e
e00077,0,training-e
e00078,0,training-e
e00079,0,training-e
e00080,0,training-e
e00081,0,training-e
e00082,0,training-e
e00083,0,training-e
e00084,0,training-e
e00085,0,training-e
e00086,0,training-e
e00087,1,training-e
e00088,0,training-e
e00089,0,training-e
e00090,0,training-e
e00091,0,training-e
e00092,0,training-e
e00093,0,training-e
e00094,0,training-e
e00095,0,training-e
e00096,0,training-e
e00097,1,training-e
e00098,0,training-e
e00099,0,training-e
e00100,0,training-e
e00101,0,training-e
e00102,0,training-e
e00103,0,training-e
e00104,0,training-e
e00105,0,training-e
e00106,0,training-e
e00107,0,training-e
e00108,0,training-e
e00109,0,training-e
e00110,0,training-e
e00111,0,training-e
e00112,0,training-e
e00113,0,training-e
e00114,1,training-e
e00115,0,training-e
e00116,0,training-e
e00117,0,training-e
e00118,0,training-e
e00119,0,training-e
e00120,1,training-e
e00121,0,training-e
e00122,0,training-e
e00123,0,training-e
e00124,0,training-e
e00125,0,training-e
e00126,0,training-e
e00127,0,training-e
e00128,0,training-e
e00129,0,training-e
e00130,0,training-e
e00131,0,training-e
e00132,0,training-e
e00133,0,training-e
e00134,0,training-e
e00135,1,training-e
e00136,0,training-e
e00137,0,training-e
e00138,0,training-e
e00139,0,training-e
e00140,1,training-e
e00141,0,training-e
e00142,1,training-e
e00143,0,training-e
e00144,0,training-e
e00145,0,training-e
e00146,0,training-e
e00147,0,training-e
e00148,0,training-e
e00149,0,training-e
e00150,0,training-e
e00151,0,training-e
e00152,1,training-e
e00153,0,training-e
e00154,0,training-e
e00155,0,training-e
e00156,0,training-e
e00157,0,training-e
e00158,0,training-e
e00159,0,training-e
e00160,0,training-e
e00161,0,training-e
e00162,0,training-e
e00163,0,training-e
e00164,0,training-e
e00165,0,training-e
e00166,0,training-e
e00167,0,training-e
e00168,0,training-e
e00169,0,training-e
e00170,0,training-e
e00171,0,training-e
e00172,0,training-e
e00173,0,training-e
e00174,0,training-e
e00175,0,training-e
e00176,1,training-e
e00177,0,training-e
e00178,0,training-e
e00179,0,training-e
e00180,0,training-e
e00181,0,training-e
e00182,0,training-e
e00183,0,training-e
e00184,0,training-e
e00185,0,training-e
e00186,0,training-e
e00187,0,training-e
e00188,0,training-e
e00189,0,training-e
e00190,0,training-e
e00191,1,training-e
e00192,0,training-e
e00193,0,training-e
e00194,0,training-e
e00195,1,training-e
e00196,0,training-e
e00197,0,training-e
e00198,0,training-e
e00199,0,training-e
e00200,0,training-e
e00201,0,training-e
e00202,0,training-e
e00203,0,training-e
e00204,0,training-e
e00205,0,training-e
e00206,0,training-e
e00207,0,training-e
e00208,0,training-e
e00209,0,training-e
e00210,0,training-e
e00211,0,training-e
e00212,0,training-e
e00213,0,training-e
e00214,0,training-e
e00215,0,training-e
e00216,1,training-e
e00217,0,training-e
e00218,0,training-e
e00219,0,training-e
e00220,0,training-e
e00221,0,training-e
e00222,0,training-e
e00223,0,training-e
e00224,0,training-e
e00225,0,training-e
e00226,0,training-e
e00227,0,training-e
e00228,1,training-e
e00229,0,training-e
e00230,0,training-e
e00231,0,training-e
e00232,0,training-e
e00233,0,training-e
e00234,0,training-e
e00235,0,training-e
e00236,0,training-e
e00237,0,training-e
e00238,0,training-e
e00239,0,training-e
e00240,0,training-e
e00241,0,training-e
e00242,0,training-e
e00243,0,training-e
e00244,0,training-e
e00245,0,training-e
e00246,0,training-e
e00247,0,training-e
e00248,0,training-e
e00249,0,training-e
e00250,0,training-e
e00251,0,training-e
e00252,0,training-e
e00253,0,training-e
e00254,0,training-e
e00255,0,training-e
e00256,0,training-e
e00257,0,training-e
e00258,0,training-e
e00259,0,training-e
e00260,0,training-e
e00261,0,training-e
e00262,0,training-e
e00263,0,training-e
e00264,0,training-e
e00265,0,training-e
e00266,1,training-e
e00267,0,training-e
e00268,0,training-e
e00269,0,training-e
e00270,0,training-e
e00271,0,training-e
e00272,0,training-e
e00273,0,training-e
e00274,0,training-e
e00275,1,training-e
e00276,0,training-e
e00277,0,training-e
e00278,0,training-e
e00279,0,training-e
e00280,0,training-e
e00281,0,training-e
e00282,0,training-e
e00283,0,training-e
e00284,0,training-e
e00285,0,training-e
e00286,0,training-e
e00287,0,training-e
e00288,0,training-e
e00289,0,training-e
e00290,0,training-e
e00291,0,training-e
e00292,0,training-e
e00293,0,training-e
e00294,0,training-e
e00295,1,training-e
e00296,0,training-e
e00297,0,training-e
e00298,0,training-e
e00299,0,training-e
e00300,0,training-e
e00301,0,training-e
e00302,0,training-e
e00303,0,training-e
e00304,1,training-e
e00305,1,training-e
e00306,0,training-e
e00307,0,training-e
e00308,0,training-e
e00309,0,training-e
e00310,0,training-e
e00311,0,training-e
e00312,0,training-e
e00313,0,training-e
e00314,0,training-e
e00315,0,training-e
e00316,0,training-e
e00317,0,training-e
e00318,0,training-e
e00319,0,training-e
e00320,0,training-e
e00321,1,training-e
e00322,0,training-e
e00323,0,training-e
e00324,0,training-e
e00325,0,training-e
e00326,0,training-e
e00327,0,training-e
e00328,1,training-e
e00329,0,training-e
e00330,1,training-e
e00331,0,training-e
e00332,0,training-e
e00333,0,training-e
e00334,0,training-e
e00335,0,training-e
e00336,1,training-e
e00337,0,training-e
e00338,0,training-e
e00339,0,training-e
e00340,0,training-e
e00341,0,training-e
e00342,0,training-e
e00343,0,training-e
e00344,0,training-e
e00345,0,training-e
e00346,0,training-e
e00347,0,training-e
e00348,0,training-e
e00349,0,training-e
e00350,0,training-e
e00351,0,training-e
e00352,0,training-e
e00353,0,training-e
e00354,0,training-e
e00355,0,training-e
e00356,0,training-e
e00357,0,training-e
e00358,0,training-e
e00359,1,training-e
e00360,0,training-e
e00361,0,training-e
e00362,0,training-e
e00363,0,training-e
e00364,0,training-e
e00365,0,training-e
e00366,0,training-e
e00367,0,training-e
e00368,0,training-e
e00369,0,training-e
e00370,0,training-e
e00371,0,training-e
e00372,0,training-e
e00373,1,training-e
e00374,0,training-e
e00375,0,training-e
e00376,0,training-e
e00377,0,training-e
e00378,0,training-e
e00379,0,training-e
e00380,0,training-e
e00381,0,training-e
e00382,0,training-e
e00383,0,training-e
e00384,0,training-e
e00385,0,training-e
e00386,0,training-e
e00387,0,training-e
e00388,1,training-e
e00389,0,training-e
e00390,0,training-e
e00391,0,training-e
e00392,0,training-e
e00393,0,training-e
e00394,0,training-e
e00395,0,training-e
e00396,0,training-e
e00397,0,training-e
e00398,0,training-e
e00399,0,training-e
e00400,0,training-e
e00401,0,training-e
e00402,0,training-e
e00403,0,training-e
e00404,0,training-e
e00405,0,training-e
e00406,0,training-e
e00407,0,training-e
e00408,0,training-e
e00409,0,training-e
e00410,0,training-e
e00411,0,training-e
e00412,0,training-e
e00413,0,training-e
